Period,Subject,Group,Profit,TotalProfit,Participate,Total_Deduct,Total_First_Income,Total_Cost,contribution,percentContribution,sumContribution,n,Profit1Own,Profit1Group,Profit1,Cost,ReceivedPoints,Reduction,Profit2,Temp_Profit,Punish10,Punish10u,Punish10d,TotalProfitEnd,Punish20,Punish20u,Punish20d
4,13,3,28.2,111.8,0,0,90.8,4,17,85,63,4,3,25.2,28.2,0,0,0,28.2,28.2,-,-,-,86.8,-,-,-
4,14,3,26.2,74.4,0,-9,88.4,30,17,85,63,4,3,25.2,28.2,2,0,0,26.2,26.2,-,-,-,49.4,-,-,-
4,15,1,31.2,129,0,0,107,3,10,50,53,4,10,21.2,31.2,0,0,0,31.2,31.2,-,-,-,104,-,-,-
4,16,6,24,115,0,-30,120,0,7,35,35,4,13,14,27,0,-1,-3,24,27,-,-,-,90,-,-,-
4,17,5,15.6,125.6,0,0,105.6,5,15,75,34,4,5,13.6,18.6,3,0,0,15.6,15.6,-,-,-,100.6,-,-,-
4,18,4,11.6,95.2,0,-3,85.2,12,15,75,29,4,5,11.6,16.6,5,0,0,11.6,11.6,-,-,-,70.2,-,-,-
4,19,2,28.6,98,0,-42,116,1,5,25,34,4,15,13.6,28.6,0,0,0,28.6,28.6,-,-,-,73,-,-,-
4,20,4,17.6,112,0,-6,98,5,12,60,29,4,8,11.6,19.6,2,0,0,17.6,17.6,-,-,-,87,-,-,-
4,21,3,26.2,130.2,0,-3,112.2,4,15,75,63,4,5,25.2,30.2,1,-1,-3,26.2,29.2,-,-,-,105.2,-,-,-
4,22,2,21.6,109.8,0,0,87.8,3,12,60,34,4,8,13.6,21.6,0,0,0,21.6,21.6,-,-,-,84.8,-,-,-
4,23,5,-23.4,30.4,0,-135,140.4,0,0,0,34,4,20,13.6,33.6,0,-19,-57,-23.4,33.6,-,-,-,5.4,-,-,-
4,24,1,33.2,125.4,0,0,105.4,5,8,40,53,4,12,21.2,33.2,0,0,0,33.2,33.2,-,-,-,100.4,-,-,-
5,1,3,26.6,126.8,0,-6,107.8,0,15,75,54,4,5,21.6,26.6,0,0,0,26.6,26.6,-,-,-,101.8,-,-,-
